"id","participant_id","item_id","item","item_type","trial_index","correct_answer","response","is_correct","reaction_time","trial_ptr_id","question_id"
267,226,"9_fb_1_s_e_im",9,"attention_check",7,"drawer","drawer","True",6809.5,267,"end_loc"
269,160,"6_fb_1_s_e_ex",6,"attention_check",6,"drawer","drawer","True",8103.70000000298,269,"start_loc"
270,160,"6_fb_1_s_e_ex",6,"attention_check",7,"cabinet","cabinet","True",8715.79999999702,270,"end_loc"
272,257,"6_tb_1_s_e_im",6,"attention_check",6,"drawer","drawer","True",7909.30000019073,272,"start_loc"
273,257,"6_tb_1_s_e_im",6,"attention_check",7,"cabinet","cabinet","True",5287.5,273,"end_loc"
275,234,"9_fb_1_e_s_im",9,"attention_check",6,"cupboard","counter","False",9461,275,"start_loc"
276,234,"9_fb_1_e_s_im",9,"attention_check",7,"drawer","drawer","True",4827.5,276,"end_loc"
278,228,"5_fb_1_e_s_im",5,"attention_check",6,"hall","hall","True",6902,278,"start_loc"
279,228,"5_fb_1_e_s_im",5,"attention_check",7,"study","study","True",6351.40000000224,279,"end_loc"
281,174,"4_tb_1_e_e_im",4,"attention_check",6,"shed","shed","True",5967.69999998808,281,"start_loc"
282,174,"4_tb_1_e_e_im",4,"attention_check",7,"garage","garage","True",10555,282,"end_loc"
284,329,"4_fb_1_s_s_ex",4,"attention_check",6,"shed","shed","True",5316.60000014305,284,"start_loc"
285,329,"4_fb_1_s_s_ex",4,"attention_check",7,"garage","shed","False",8530.60000014305,285,"end_loc"
287,269,"12_fb_1_e_s_ex",12,"attention_check",6,"stable","Hut","False",6671,287,"start_loc"
288,269,"12_fb_1_e_s_ex",12,"attention_check",7,"hut","Stable","False",4821,288,"end_loc"
290,308,"2_fb_1_e_e_im",2,"attention_check",6,"cupboard","cupboard","True",6530.40000009537,290,"start_loc"
291,308,"2_fb_1_e_e_im",2,"attention_check",7,"fridge","fridge","True",5728,291,"end_loc"
293,306,"12_fb_1_e_s_im",12,"attention_check",6,"stable","yes","False",6078.29999995232,293,"start_loc"
294,306,"12_fb_1_e_s_im",12,"attention_check",7,"hut","yes","False",3544.39999997616,294,"end_loc"
296,209,"12_tb_1_s_e_ex",12,"attention_check",6,"stable","stable","True",31469.2999999821,296,"start_loc"
297,209,"12_tb_1_s_e_ex",12,"attention_check",7,"hut","hut","True",8664,297,"end_loc"
299,341,"11_fb_1_s_s_ex",11,"attention_check",6,"suitcase","suitcase","True",5856.70000000019,299,"start_loc"
300,341,"11_fb_1_s_s_ex",11,"attention_check",7,"backpack","backpack","True",3389,300,"end_loc"
302,297,"12_tb_1_s_e_im",12,"attention_check",6,"stable","barn","False",5910.39999985695,302,"start_loc"
303,297,"12_tb_1_s_e_im",12,"attention_check",7,"hut","barn","False",5877.59999990463,303,"end_loc"
305,180,"5_tb_1_e_s_ex",5,"attention_check",6,"hall","hall","True",12477.7999999523,305,"start_loc"
306,180,"5_tb_1_e_s_ex",5,"attention_check",7,"study","hall","False",19900,306,"end_loc"
308,196,"3_fb_1_e_s_im",3,"attention_check",6,"sink","sink","True",16717,308,"start_loc"
309,196,"3_fb_1_e_s_im",3,"attention_check",7,"basket","basket","True",9276.40000009537,309,"end_loc"
311,326,"12_fb_1_e_s_ex",12,"attention_check",6,"stable","stable","True",9448,311,"start_loc"
312,326,"12_fb_1_e_s_ex",12,"attention_check",7,"hut","hut","True",3688.70000001788,312,"end_loc"
314,351,"9_fb_1_e_e_im",9,"attention_check",6,"cupboard","drawer","False",7000,314,"start_loc"
315,351,"9_fb_1_e_e_im",9,"attention_check",7,"drawer","counter","False",6924,315,"end_loc"
317,138,"4_fb_1_e_s_ex",4,"attention_check",6,"shed","shed","True",6708.80000000075,317,"start_loc"
318,138,"4_fb_1_e_s_ex",4,"attention_check",7,"garage","garage","True",23275.1000000015,318,"end_loc"
320,155,"2_tb_1_s_s_im",2,"attention_check",6,"cupboard","cupboard","True",14734,320,"start_loc"
321,155,"2_tb_1_s_s_im",2,"attention_check",7,"fridge","fridge","True",10124.1000000015,321,"end_loc"
323,125,"9_tb_1_s_e_im",9,"attention_check",6,"cupboard","cupboard","True",8854.19999998808,323,"start_loc"
324,125,"9_tb_1_s_e_im",9,"attention_check",7,"drawer","drawer","True",13806.5999999642,324,"end_loc"
326,243,"4_fb_1_s_s_im",4,"attention_check",6,"shed","LEAG","False",18982,326,"start_loc"
327,243,"4_fb_1_s_s_im",4,"attention_check",7,"garage","LEAG","False",10623,327,"end_loc"
329,200,"6_fb_1_s_s_im",6,"attention_check",6,"drawer","drawer","True",8139.59999996424,329,"start_loc"
330,200,"6_fb_1_s_s_im",6,"attention_check",7,"cabinet","cabinet","True",5525.5,330,"end_loc"
332,366,"5_fb_1_s_e_im",5,"attention_check",6,"hall","hall","True",10179.8000000007,332,"start_loc"
333,366,"5_fb_1_s_e_im",5,"attention_check",7,"study","study","True",4010.30000000075,333,"end_loc"
335,169,"6_tb_1_s_e_ex",6,"attention_check",6,"drawer","drawer","True",11481.7000000477,335,"start_loc"
336,169,"6_tb_1_s_e_ex",6,"attention_check",7,"cabinet","cabinet","True",12141.8000000119,336,"end_loc"
338,112,"2_tb_1_s_e_ex",2,"attention_check",6,"cupboard","cupboard","True",9352.10000002384,338,"start_loc"
339,112,"2_tb_1_s_e_ex",2,"attention_check",7,"fridge","fridge","True",11259.9000000954,339,"end_loc"
341,315,"2_fb_1_s_s_im",2,"attention_check",6,"cupboard","cupboard","True",6136.10000002384,341,"start_loc"
342,315,"2_fb_1_s_s_im",2,"attention_check",7,"fridge","fridge","True",3714.69999998808,342,"end_loc"
344,173,"6_fb_1_s_e_im",6,"attention_check",6,"drawer","away","False",13483.3999999999,344,"start_loc"
345,173,"6_fb_1_s_e_im",6,"attention_check",7,"cabinet","cabinet","True",7478.39999999991,345,"end_loc"
347,249,"11_fb_1_s_e_im",11,"attention_check",6,"suitcase","backpack","False",19434.400000006,347,"start_loc"
348,249,"11_fb_1_s_e_im",11,"attention_check",7,"backpack","nicole","False",21188.599999994,348,"end_loc"
350,288,"2_tb_1_e_e_im",2,"attention_check",6,"cupboard","sandwich","False",13785.6000000238,350,"start_loc"
351,288,"2_tb_1_e_e_im",2,"attention_check",7,"fridge","sandwich","False",10264.6000000238,351,"end_loc"
353,255,"8_fb_1_e_e_im",8,"attention_check",6,"hall","hall","True",8684,353,"start_loc"
354,255,"8_fb_1_e_e_im",8,"attention_check",7,"bedroom","bedroom","True",10369.6999998093,354,"end_loc"
356,406,"12_fb_1_s_e_ex",12,"attention_check",6,"stable","stable","True",4364.09999999963,356,"start_loc"
357,406,"12_fb_1_s_e_ex",12,"attention_check",7,"hut","hut","True",2555,357,"end_loc"
359,317,"10_tb_1_e_s_im",10,"attention_check",6,"toolbox","toolbox","True",6202.79999995232,359,"start_loc"
360,317,"10_tb_1_e_s_im",10,"attention_check",7,"van","van","True",5602.39999997616,360,"end_loc"
362,137,"10_fb_1_s_e_ex",10,"attention_check",6,"toolbox","toolbox","True",15396.6999999881,362,"start_loc"
363,137,"10_fb_1_s_e_ex",10,"attention_check",7,"van","van","True",8719.5,363,"end_loc"
365,360,"4_fb_1_e_s_im",4,"attention_check",6,"shed","STORY","False",6102,365,"start_loc"
366,360,"4_fb_1_e_s_im",4,"attention_check",7,"garage","END","False",5556.89999961853,366,"end_loc"
368,187,"3_fb_1_e_e_ex",3,"attention_check",6,"sink","sink","True",8176.7000002861,368,"start_loc"
369,187,"3_fb_1_e_e_ex",3,"attention_check",7,"basket","laundry basket","False",10159,369,"end_loc"
371,238,"3_tb_1_s_e_im",3,"attention_check",6,"sink","sink","True",4964.29999995232,371,"start_loc"
372,238,"3_tb_1_s_e_im",3,"attention_check",7,"basket","basket","True",7331.5,372,"end_loc"
374,188,"2_fb_1_e_e_im",2,"attention_check",6,"cupboard","counter","False",8077.5,374,"start_loc"
375,188,"2_fb_1_e_e_im",2,"attention_check",7,"fridge","fridge","True",9268.09999999963,375,"end_loc"
377,332,"7_fb_1_e_e_im",7,"attention_check",6,"garage","kitchen","False",10599.5,377,"start_loc"
378,332,"7_fb_1_e_e_im",7,"attention_check",7,"fridge","fridge","True",12192.8000000715,378,"end_loc"
380,278,"7_tb_1_e_s_ex",7,"attention_check",6,"garage","garage","True",7552,380,"start_loc"
381,278,"7_tb_1_e_s_ex",7,"attention_check",7,"fridge","fridge","True",6284,381,"end_loc"
383,331,"5_fb_1_e_e_ex",5,"attention_check",6,"hall","hall","True",6084.70000000019,383,"start_loc"
384,331,"5_fb_1_e_e_ex",5,"attention_check",7,"study","hall","False",5956.70000000019,384,"end_loc"
386,415,"1_tb_1_e_e_ex",1,"attention_check",6,"box","box","True",26129.2999999523,386,"start_loc"
387,415,"1_tb_1_e_e_ex",1,"attention_check",7,"basket","basket","True",2033,387,"end_loc"
389,133,"8_tb_1_e_s_ex",8,"attention_check",6,"hall","WALL ","False",15647.5,389,"start_loc"
390,133,"8_tb_1_e_s_ex",8,"attention_check",7,"bedroom","HALL","False",9361.5,390,"end_loc"
392,311,"1_tb_1_s_s_ex",1,"attention_check",6,"box","box","True",6903.40000009537,392,"start_loc"
393,311,"1_tb_1_s_s_ex",1,"attention_check",7,"basket","basket","True",5769,393,"end_loc"
395,318,"5_tb_1_e_s_im",5,"attention_check",6,"hall","hall","True",5477.70000004768,395,"start_loc"
396,318,"5_tb_1_e_s_im",5,"attention_check",7,"study","bathroom","False",5095.89999997616,396,"end_loc"
398,215,"7_tb_1_e_e_im",7,"attention_check",6,"garage","store","False",12512.3999996185,398,"start_loc"
399,215,"7_tb_1_e_e_im",7,"attention_check",7,"fridge","nice","False",10808.8999996185,399,"end_loc"
401,179,"1_tb_1_s_s_ex",1,"attention_check",6,"box","box","True",9028.7999997139,401,"start_loc"
402,179,"1_tb_1_s_s_ex",1,"attention_check",7,"basket","basket","True",15076.5,402,"end_loc"
404,190,"8_tb_1_s_e_ex",8,"attention_check",6,"hall","song","False",16092.7999999523,404,"start_loc"
405,190,"8_tb_1_s_e_ex",8,"attention_check",7,"bedroom","1","False",5012.19999998808,405,"end_loc"
407,386,"1_tb_1_s_e_im",1,"attention_check",6,"box","box","True",5624,407,"start_loc"
408,386,"1_tb_1_s_e_im",1,"attention_check",7,"basket","basket","True",7896,408,"end_loc"
410,210,"4_fb_1_s_s_ex",4,"attention_check",6,"shed","shed","True",14348,410,"start_loc"
411,210,"4_fb_1_s_s_ex",4,"attention_check",7,"garage","garage","True",37834,411,"end_loc"
413,339,"2_tb_1_e_s_im",2,"attention_check",6,"cupboard","cupboard","True",8264.90000003576,413,"start_loc"
414,339,"2_tb_1_e_s_im",2,"attention_check",7,"fridge","fridge","True",4775.10000002384,414,"end_loc"
416,356,"11_fb_1_e_e_im",11,"attention_check",6,"suitcase","suitcase","True",16153.1999999993,416,"start_loc"
417,356,"11_fb_1_e_e_im",11,"attention_check",7,"backpack","backpack","True",6616.69999999925,417,"end_loc"
419,270,"9_tb_1_e_e_ex",9,"attention_check",6,"cupboard","counter","False",16015.3999999762,419,"start_loc"
420,270,"9_tb_1_e_e_ex",9,"attention_check",7,"drawer","cupboard","False",5510.5,420,"end_loc"
422,123,"8_tb_1_s_e_im",8,"attention_check",6,"hall","hall","True",14896.5,422,"start_loc"
423,123,"8_tb_1_s_e_im",8,"attention_check",7,"bedroom","bedroom","True",7847.69999998808,423,"end_loc"
425,126,"3_fb_1_e_s_ex",3,"attention_check",6,"sink","sink","True",14356.5,425,"start_loc"
426,126,"3_fb_1_e_s_ex",3,"attention_check",7,"basket","sink","False",16174.8999999762,426,"end_loc"
428,214,"11_fb_1_e_s_ex",11,"attention_check",6,"suitcase","suitcase","True",10618.3000000007,428,"start_loc"
429,214,"11_fb_1_e_s_ex",11,"attention_check",7,"backpack","backpack","True",8874,429,"end_loc"
431,146,"12_tb_1_e_s_ex",12,"attention_check",6,"stable","in the stall","False",65580,431,"start_loc"
432,146,"12_tb_1_e_s_ex",12,"attention_check",7,"hut","barn","False",27090,432,"end_loc"
434,503,"12_tb_1_s_e_im",12,"attention_check",6,"stable","horse","False",5401.40000000596,434,"start_loc"
435,503,"12_tb_1_s_e_im",12,"attention_check",7,"hut","horse","False",3888.80000001192,435,"end_loc"
437,250,"11_tb_1_s_e_im",11,"attention_check",6,"suitcase","HOME","False",77788.1000001431,437,"start_loc"
438,250,"11_tb_1_s_e_im",11,"attention_check",7,"backpack","BOOK","False",8150.19999980927,438,"end_loc"
440,201,"12_fb_1_e_s_im",12,"attention_check",6,"stable","stable","True",8439.40000000596,440,"start_loc"
441,201,"12_fb_1_e_s_im",12,"attention_check",7,"hut","hut","True",6479.29999999702,441,"end_loc"
443,411,"10_tb_1_s_e_im",10,"attention_check",6,"toolbox","toolbox","True",5101.90000000224,443,"start_loc"
444,411,"10_tb_1_s_e_im",10,"attention_check",7,"van","van","True",5846.70000000298,444,"end_loc"
